,,Anul I Seria A,,,,,,Anul I Seria B,,,,,,,,,,Anul I Seria C,,,,,,,,,,Anul I Seria D,,,,,,,Anul I Seria E,,,,,,Anul I Seria F,,,,,,,,,,,,Anul I Seria G,,,,,,,curs,curs,curs,sem,,,,,,,,
,,411A,412A,413A,414A,sala,,411Ba,411Bb,412Ba,412Bb,413Ba,413Bb,414Ba,414Bb,sala,,411Ca,411Cb,412Ca,412Cb,413Ca,413Cb,414Ca,414Cb,sala,,411D,412D,413D,414D,415D,sala,,411E,412E,413E,414E,sala,,411Fa,411Fb,412Fa,412Fb,413Fa,413Fb,414Fa,414Fb,415Fa,415Fb,sala,,411G,412G,413Ga,413Gb,414Ga,414Gb,sala,B306,B219a,B212,,METc (l),Fiz2 (l),SDA (l),,,,,
,13-14,,"AM2 (s) 
B12",,,,13-14,"MS (curs)
prof. C. Georgescu",,,,,,,,B306,13-14,"MS (curs) / Fizică2 (curs)
prof O. Sandru / prof. G. Stanciu",,,,,,,,B219a,13-14,"SDA (l) / 
/ -- ","-- /
/SDA (l) 
",,,"-- /
/ MS (s) B09",,13-14,"AM2 (curs) / MS (curs)
prof. C. Bercia / prof O. Sandru",,,,B212,13-14,"SDA (l) / 
/ -- ","-- /
/SDA (l) 
","AM2 (s) 
B10",,"Fiz (l) / 
/ MS (s) B11",,"MS (s) B11 /
/ Fiz (l)",,,,,13-14,OPT 1 IRPSE (curs) /  --,,,,,,"A102
",1,1,1,3.5,0,0,2,29,,,,
,14-15,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,14-15,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,0,0,0,,,,,,,,,
,15-16,,,,,,15-16,,,,,,,,,,15-16,"MS (s) B09 /  
 / --",,"-- / 
/ MS (s) B09",,,,,,,15-16,"Fiz (l) / 
/ --","-- / 
/ Fiz (l)","SDA (l) / 
/ MS (s) B10","MS (s) B10 /
/ SDA (l)",-- / METc (l),,15-16,,,,,,15-16,"Fizică2 (curs)
prof. C. Roșu",,,,,,,,,,B306,15-16,"SDA (curs)
prof. I. Năstac",,,,,,B212,1,0,1,2,0.5,0,1,23,,,,
,16-17,,,,,,16-17,,,,,,,,,,16-17,,,,,,,,,,16-17,,,,,,,16-17,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,0,0,0,,,,,,,,,
,17-18,,,,,,17-18,,,,,,,,,,17-18,,,,,,,,,,17-18,,,"Fiz (l) / 
/ BE2 (s) B10","BE2 (s) B10 / 
/ Fiz (l)","SDA (l) / 
/ METc (l)",,17-18,,,,,,17-18,"METc (curs)
prof.  M. Stanciu",,,,,,,,,,B306,17-18,"Fizică2 (curs) / BE2 (curs)
 prof. G. Suliman/ prof. O. Drosu",,,,,,B223,1,0,0,1,1,0,1,20,,,,
,18-19,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,SDA (l) / --,,18-19,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,0,0,0,,,,,,,,,
,19-20,,,,,,19-20,,,,,,,,,,19-20,,,,,,,,,,19-20,,,,,"Fiz (l) / 
/ BE2 (s) B10",,19-20,,,,,,19-20,,,,,,,,,-- / Fiz (l),,,19-20,,,,,,,,0,0,0,0.5,0,0,0,14,,,,
,20-21,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,20-21,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,
JOI,08-09,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,08-09,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,0,0,0,,,,,,,,,
