,,Anul II Seria A,,,,,,,,,Anul II Seria B,,,,,,,,,Anul II Seria C,,,,,,,,,Anul II Seria D,,,,,,,,,Anul II Seria E,,,,,,,,,Anul II Seria F,,,,,,,,,Anul II Seria G,,,,,,,,,curs,curs,curs,sem,,,,,,,,
MIERCURI,09-10,"ASC (curs)
prof. Lucian Stanciu",,,,,,,,B110,,,,,,,,,,-- / ASC (l),,,,,,,,,"CEF (curs)
prof.  Florin Draghici",,,,,,,,A05,AMP (l) / --,,-- / AMP (l),,,,,,,,,"CEF (s)
B122",,ASC (l) / --,,"AMP (l)
/ ---","--- /
AMP (l)",,Sport,,"- / Man (s)
-- / B12",,CID (s+l),,"ASC (s)
B218",,,1,1,0,2.5,1,1,1,0,0,,,
,10-11,,,,,,,,,B110,,,,,,,,,,CE (l) / ASC (l),,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,ASC (l) / CE (l),,,,,,,,,,,,,,1,1,0,,,,,,0,,,
,11-12,"CEF (curs)
prof. Gheorghe Brezeanu",,,,,,,,B110,,,"CEF (s)
B122",,CID (s+l),,,,,,,"ASC (s)
B12",,,,"ASC (s)
B13",,,"ASC (curs)
prof. Teodor Petrescu",,,,,,,,A05,"ASC (s)
B218",,Sport,,AMP (l) / --,,-- / AMP (l),,,,,,,,,,,,"Man (s) / CEF (c)
B219b / prof. Dim",,"- / CEF (c)
-- / Prof. G. Dima",,,,,,,1,1,0,4.5,1,,1,,0,,,
,12-13,,,,,,,,,B110,,,,,,,,,,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,B219b,1,1,1,,,,,0,0,,,
,13-14,"CID (curs)
prof. Gheorghe M. Stefan",,,,,,,,B110,"AMP (curs) / CID (curs)
prof.  Corneliu Burileanu / prof. S. Maican",,,,,,,,A101,"-- / ASC (curs)
-- / prof. Simona Halunga",,,,,,,,,"AMP (curs) / CID (curs) 
prof. Sorin Zoican / Prof. Z. Hascsi",,,,,,,,A05,Sport,,CID (s+l),,,,"ASC (s)
B122",,,ASC (l) / CE (l),,Sport,,"AMP (l)
/ ---","--- /
AMP (l)",CE (l) / ASC (l),,,"CID (curs) / AMP (curs)
prof. Z. Hascsi / prof. C. Burileanu",,,,,,,,B219b,1,1,1,1,2,1,1,,0,,,
,14-15,,,,,,,,,B110,,,,,,,,,A102,,,,,,,,,A05,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,,,,,,,,,,A101,1,1,1,,,,,,0,,,
,15-16,,,,,,,,,,"ASC (curs)
prof. D. Stanomir",,,,,,,,A05,"CID (curs) / CEF (curs)
prof. Monica Dascalu / prof. D. Neculoiu",,,,,,,,B219b,"ASC (s)
B12",,"- / Man (s)
-- / B218",,"ASC (s)
B122",,"Man (s) / Sport
B218 /",,,,,,,Sport,,,,,,,"AMP (l)
/ ---","--- /
AMP (l)",CID (s+l),,,,,,,,,,,,,,0,1,1,3,2,,1,0,0,,,
,16-17,,,,,,,,,,,,,,,,,,A05,,,,,,,,,B219b,,,,,,,,,,,,,,,,,,,ASC (l) / --,,,,,,-- / ASC (l),,,,,,,,,,,,0,1,1,,,,,,0,,,
,17-18,,,,,,,,,,"O4 Management (curs)
prof. I. Enache",,,,,,,,A05,,,,,CID (s+l),,"CEF (s)
B122",,,,,,,,,,,,"CEF (s) / --
B110 / --",,,,ASC (l) / CE (l),,CE (l) / ASC (l),,B110,"AMP (l)
/ ---","--- /
AMP (l)",,,,,,,,,,,,,,,,,1,1,0,2,0,1,1,,0,,,
,18-19,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,,,,,,,,,,,,,,B110,,,,,,,,,,,,,,,,,,,1,1,0,,,,,0,0,,,
