,,Anul III Seria A  - CTI,,,,,,,,,,,Anul III Seria B  - ELA,,,,,,,,,,,Anul III Seria C  - TST,,,,,,,,,,,,Anul III Seria D  - RST,,,,,,,,,,,Anul III Seria E  - MON,,,,,,,,,,,,Anul III Seria F  - ELA En,,,,Anul III Seria G - TST En,,,,,curs,curs,curs,sem,sem,,,,,,,
,17-18,,,,,,,,,,,17-18,,,,,,,,,,,17-18,,,,,,,,,,,,17-18,,,,,,,,,,,17-18,,,"-- /
/ SC(l)","SC(l) /
/ --",,, -- / PDS(l),PDS(l) /--,"SCCS(l)/
/ --","-- /
/ SCCS(l) ",,17-18,"TV(l) / 
/--","-- / 
/ TV(l)",,,,,,,17-18,0,0,0,0,0,,,,,,,
,18-19,,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,"
-- / PDS(l)",PDS(l) /--,,,,18-19,,,,,,,,,18-19,,,,,,,,,,,,
,19-20,,,,,,,,,,,19-20,,,,,,,,,,,19-20,,,,,,,,,,,,19-20,,,,,,,,,,,19-20,,,,,,,"-- /
/ SCCS(l) ","SCCS(l) /
/ --",,,,19-20,,,,,,,,,19-20,0,0,0,0,0,,,,,,,
,20-21,,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,,20-21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIERCURI,08-09,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,08-09,,,,,,,,,,,,
,09-10,,,,,,,,,,,09-10,"-- / 
/ DEPI(s) B124",," SC(l) /
/ --","-- /
/ SC(l)","DEPI(s) B124 /
/ --",,,,,,09-10,"Prelucrarea digitală a semnalelor (curs)
Prof. S. Ciochina",,,,,,,,,,"B206a
",09-10,"Decizie si estimare in prelucrarea informatiilor (curs) 
Prof C. Danisor",,,,,,,,,B223a,09-10,"PDS(l) /
/--","-- /
/ PDS(l)",,,,,,,,,,09-10,"-- /
/ DSP(p) B205",,,,"DSP(p) B205 /
/ DEPI(l)",,"DEPI(l) /
/ DSP(p) B205",,09-10,0,0,1,2,0,,,,,,,
,10-11,,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,,10-11,,,,,,,,,,,,
,11-12,"SO(l) /
/ --",,"-- /
/ SO(l)",,,,,,,,11-12," SC(l) /
/ --","-- /
/ SC(l)","DEPI(s) B124/
/ --",,,,"-- / 
/ DEPI(s) B124",,,,11-12,"Decizie si estimare in prelucrarea informatiilor (curs)
Prof. L. Perisoara",,,,,,,,,,B223a,11-12," Comunicaţii analogice şi digitale (curs) Prof. V. Croitoru /
/ Prelucrarea digitală a semnalelor (curs) Prof. M. Udrea",,,,,,,,,A101,11-12,,,"-- /
/ TV(l)","TV(l) /
/ --",,,,,,,,11-12,"Digital Signal Processing (curs)
Prof. C. Oprea",,,,,,,A103,11-12,1,1,1,2,0,,,,,,,
,12-13,,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,"PDS(l) /
/ --","-- /
/ PDS(l)",,,,,,12-13,,,,,,,,,12-13,,,,,,,,,,,,
,13-14,,,,,"-- /
/ DEPI(s) B124",,"DEPI(s) B124 /
/ --",,,,13-14,"Electronica si informatica industriala (curs)
Prof. A. Florescu",,,,,,,,,B223a,13-14,"Comunicaţii analogice şi digitale (curs)
Prof. I. Ceapa & Prof. S. Obreja",,,,,,,,,,B312,13-14,,,"- /
 / APC(l)","APC(l) /
 / -","DEPI(l) /
 / -","- /
 / DEPI(l)",,,,,13-14,"DEPI(s)
B218 /
/ --","-- /
/ DEPI(s) 
B218","CAF(l) /
/ --","-- /
/ CAF(l)","PDS(l) /
/ TV(l)","TV(l) /
/ PDS(l)","DEPI(s) / --
 B218 / --",,"-- / DEPI(s)
-- / B218",,,13-14,"Decision and Estimation in Information Processing (curs)
Prof. M. Ciuc",,,,,,,A103,13-14,0,1,1,2,0,,,,,,,
,14-15,,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,,14-15,,,,,,,,,,,,
,15-16,"Decizie si estimare in prelucrarea informatiilor (curs) 
Prof. M. Ciuc",,,,,,,,,B206a,15-16,"Decizie si estimare in prelucrarea informatiilor (curs) Prof. V. Neagoe /
/ Prelucrarea digitală a semnalelor (curs) Prof. V. Lazarescu",,,,,,,,,B223a,15-16,,,,,,,,,,,,15-16,,,"– /
 / APC(l)","APC(l) /
 /--",,,DEPI(l) /,"/
 / DEPI(l)",,,15-16,"Decizie si estimare in prelucrarea informatiilor (curs) Prof. C. Florea /
/ Prelucrarea digitală a semnalelor (curs) Prof. D. Burileanu",,,,,,,,,,A101,15-16,"DEPI(l) /
/ PTI(l) B322",,,,"Analog and Digital Communications (curs) 
Prof. S. Halunga",,,A103,15-16,1,1,1,0,0,,,,,,,
,16-17,,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,,,,16-17,,,,,,,,,,,,
,17-18,"Prelucrarea digitală a semnalelor (curs) 
Prof. M. Udrea",,,,,,,,,B206a,17-18,,,,,,,"SC(l) /
/ --","-- /
/ SC(l)","-- / 
/ EII(l)",,17-18,,,,,,,,,,,,17-18,,,,,,,,,,,17-18,"Senzori si circuite de conditionare a semnalelor (curs)
Prof. M. Bodea",,,,,,,,,,B212,17-18,,,,,,,,,17-18,0,0,0,0,0,,,,,,,
,18-19,,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,,18-19,,,,,,,,,,,,
,19-20,,,,,,,,,,,19-20,,,,,,,,,,,19-20,,,,,,,,,,,,19-20,,,,,,,,,,,19-20,,,,,"-- /
/ SCCS(l)","SCCS(l) /
/ --",,,,,,19-20,,,,,,,,,19-20,0,0,0,0,0,,,,,,,
,20-21,,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,,20-21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOI,08-09,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,,08-09,,,,,,,,,,,,
,09-10,"-- /
/ ASC(l)","ASC(l) /
/ --","TOP(l) /
/ --","-- /
/ TOP(l)","TPI(l) / 
/ PDS(l) ",,"PDS(l) /
/ TPI(l)",,,,09-10,"DEPI(l) /
/ ","BD(l) / 
/ DEPI(l)","PDS(l) / 
/ EII(l)","EII(l) /
/ PDS(l)","-- / 
/ EII(l)","EII(l) /
/ --","-- / 
/ BD(l)",,,,09-10,"O3. Televiziune 
O3. Securitatea reţelelor şi serviciilor
O3. Introducere în sisteme de operare și virtualizare
O3.Bazele criptologiei",,,,,,,,,,"B223a
A103
A03
B205",09-10,"O3. Televiziune 
O3. Securitatea reţelelor şi serviciilor
O3. Introducere în sisteme de operare și virtualizare
O3.Bazele criptologiei",,,,,,,,,"B223a
A103
A03
B205",09-10,,,,,,,,,"-- /
/ DEPI(l)",,,09-10,"-- /
/ SCCS(l)","SCCS(l) /
/ --",,,"O3. Network and Services Security
O3.Basics of Operating Sistemems and Virtualization
O3.Fundamentals of Cryptology",,,"A103
A03
B205",09-10,0,3,2,0,0,,,,,,,
,10-11,,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,,,,10-11,,,,,,,,,,,,10-11,,,,,,,,,10-11,,,,,,,,,,,,
