 ,,Anul III Seria A  - CTI,,,,,,,,,,Anul III Seria B  - ELA,,,,,,,,,,,Anul III Seria C  - TST,,,,,,,,,,Anul III Seria D  - RST,,,,,,,,,,Anul III Seria E  - MON,,,,,,,,,,,,Anul III Seria F  - ELA En,,,Anul III Seria G - TST En,,,,,curs,curs,curs,sem,sem,,,,,,,
,,431Aa,431Ab,432Aa,432Ab,433Aa,433Ab,434Aa,434Ab,sala,,431Ba,431Bb,432Ba,432Bb,433Ba,433Bb,434Ba,434Bb,435Ba,sala,,431Ca,431Cb,432Ca,432Cb,433Ca,433Cb,434Ca,434Cb,sala,,431Da,431Db,432Da,432Db,433Da,433Db,434Da,434Db,sala,,431Ea,431Eb,432Ea,432Eb,433Ea,433Eb,434Ea,434Eb,435Ea,435Eb,sala,,431Fa,431Fb,,431Ga,431Gb,432Ga,sala,,A101,A103,B223a,B124,B13,,,,,,,
,13-14,"Microcontrolere (curs) A101 Prof. C. Burileanu ||
Microcontrolere(curs) A103 Prof. R. Constantinescu ||
Microcontrolere(curs) B223a Prof. H. Cucu ||
Microcontrolere(curs) A03 Prof. S. Zoican",,,,,,,,,13-14,"Microcontrolere(curs) A101 Prof. C. Burileanu ||
Microcontrolere(curs) A103 Prof. R. Constantinescu ||
Microcontrolere(curs) B223a Prof. H. Cucu ||
Microcontrolere(curs) A03 Prof. S. Zoican",,,,,,,,,,13-14,"Microcontrolere(curs) A101 Prof. C. Burileanu ||
Microcontrolere(curs) A103 Prof. R. Constantinescu ||
Microcontrolere(curs) B223a Prof. H. Cucu ||
Microcontrolere(curs) A03 Prof. S. Zoican",,,,,,,,,13-14,"Microcontrolere(curs) A101 Prof. C. Burileanu ||
Microcontrolere(curs) A103 Prof. R. Constantinescu ||
Microcontrolere(curs) B223a Prof. H. Cucu ||
Microcontrolere(curs) A03 Prof. S. Zoican",,,,,,,,,13-14,"Microcontrolere(curs) A101 Prof. C. Burileanu ||
Microcontrolere(curs) A103 Prof. R. Constantinescu ||
Microcontrolere(curs) B223a Prof. H. Cucu ||
Microcontrolere(curs) A03 Prof. S. Zoican",,,,,,,,,,,13-14,"uU (l) /
/ IEM (l)","IEM (l) / 
/ uU (l)",,"IEM (l) / 
/ CIA (l)","CIA (l) /
/ IEM (l)","-- /
 / TTI (l)",,13-14,5,5,5,0,0,,,,,,,
,14-15,,,,,,,,,,14-15,,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,14-15,,,,,,,,,,,,14-15,,,,,,,,14-15,,,,,,,,,,,,
,15-16,Proiect1 A103,,"uU (l) /
/ TTI (l)","TTI (l) /
/ uU (l)","CIA (l) /
/ --","-- /
/ CIA (l)",,,,15-16,,,,,,,,,,,15-16,,,Proiect1 B124,,,,,,,15-16,"uU (s) A 806 / 
/ --",,"-- / 
/ uU (s) A 806",,,,,,,15-16,"Circuite integrate analogice (curs)
Prof. C. Dan",,,,,,,,,,A101,15-16,"-- / 
/ IEM (l)","IEM (l) / 
 /-- ",,"IEM (l) / 
/ -- ","-- /
/ IEM (l)",,,15-16,1,2,0,2,0,,,,,,,
,16-17,,,,,,,Proiect1 A103,,,16-17,,,"IEM(l) /
/ --",,,,,,,,16-17,,,,,,,Proiect1 B124,,,16-17,,,,,,,,,,16-17,,,,,,,,,,,,16-17,,,,,,-- / IEM(l),,16-17,,,,,,,,,,,,
,17-18,"CIA (l) /
/ --","-- /
/ CIA (l)",Proiect1 B124,,,,"uU (l) /
/ TTI (l)","TTI (l) /
/ uU (l)",,17-18,,,,,,,,,,,17-18,,,,,,,,,,17-18,,,,,,,,,,17-18,"Instrumentatie electronica de masura (curs)  Prof. O. Datcu /
/ Teoria transmisiunii informatiei (curs) Prof. D. Coltuc",,,,,,,,,,A101,17-18,"CIA (s) B13 /
/ Proiect1 (Infineon)",,,"-- / 
/ CIA (s) B13",,"CIA (s) B13 /
/IEM(l)",,17-18,1,0,0,2,3,,,,,,,
,18-19,,,,,Proiect1 B124,,,,,18-19,,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,18-19,,,,,,,,,,,,18-19,,,,,,,,18-19,,,,,,,,,,,,
,19-20,"uU (l) /
/ --","-- /
/ uU (l)",,,,,"CIA (l) /
/ --","-- /
/ CIA (l)",,19-20,,,,,,,,,,,19-20,,,,,,,,,,19-20,,,,,,,,,,19-20,,,,,,,,,,,,19-20,"TTI (l) /
/ --","-- /
/ TTI (l)",,,,,,19-20,0,0,0,0,0,,,,,,,
,20-21,,,,,,,,,,20-21,,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,20-21,,,,,,,,,,,,20-21,,,,,,,,20-21,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIERCURI,08-09,,,,,,,,,,08-09,,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,08-09,,,,,,,,,,,,08-09,,,,,,,,08-09,,,,,,,,,,,,
,09-10,"-- /
/ TTI (l)","TTI (l) /
/ --","CIA (s) B13 / 
/ --",,,,,,,09-10, --  / uU (s) A806,,-- / TTI (s) B13,,"CIA (l) /
/ --","-- /
/ CIA (l)",,,,,09-10,"Teoria transmisiunii informatiei (curs) Prof. L. Perisoara /
/ Microunde (curs) Prof. N. Militaru",,,,,,,,A101,09-10,,,Proiect1 B124,,,,,"uU (l) /
/ --",,09-10,,,,,,,,,,,,09-10,Controlul automat în electr. şi telecom. (curs) Prof. D. Stoichescu,,,,,,B223a,09-10,1,0,1,2,2,,,,,,,
,10-11,,,,,,,,,,10-11,"IEM(l)  / 
/ uU (s) A806",,,,,,,,,,10-11,,,,,,,,,,10-11,Proiect1 B124,,,,,,,,,10-11,,,,,,,,,-- / IEM(l),,,10-11,,,,,,,,10-11,,,,,,,,,,,,
,11-12,"CIA (s) B13 /
/ -- ",,"uU (s) A806 / 
 / --",,,,,,,11-12,"IEM(l)  / 
/ --",," --  / 
/ uU (s) A806",,"uU (l) /
/ TTI (l)","TTI (l) /
/ uU (l)","CIA (l) /
/ --","-- /
/ CIA (l)"," --  / 
/ uU (s) A806",,11-12,"Instrumentatie electronica de masura (curs)
Prof. O. Fratu",,,,,,,,B223a,11-12,"Microunde (curs) Prof. T. Petrescu / 
/  Circuite integrate analogice (curs) Prof. C. Popa",,,,,,,,A103,11-12,"Proiect1 B04 / 
/ --",,"-- / 
/ Proiect1 B04",,"-- / 
/ TTI (s) B13",,,,,,,11-12,"Microcontrolere (curs)
Prof. C. Burileanu",,,,,,A101,11-12,1,1,1,0,2,,,,,,,
,12-13,,,,,,,,,,12-13,,,,,,,,,,,12-13,,,,,,,,,,12-13,,,,,,,,,,12-13,,,,,,,,,,,,12-13,,,,,,,,12-13,,,,,,,,,,,,
